Text,Sentiment
"Very simple and effective way for new words for kids
",1
"My son loved it. It is easy even though my son is in first grade. Highly recommend it.
",1
"Brilliant A brilliant app that is challenging but great fun. The only thing I think could be better is if they grouped each difficulty together. Other than that, it's fantastic and I love playing it
",1
"Good I have gotten several updates and new games help out alot.
",1
"I love it If u don't spend no money you'll have fun any way
",1
"Best Emojis ever I've tried just about all of these emojis and this collection is by far the Best 
",1
"Animal hair salon This is the best game my niece ever had she learn how to use clipers so she can cut her cousin hair
",1
"User friendly. Good mix of games play daily.  like fireworks when win a game.  Thanks.
",1
"Interesting game Please player vs player i really really loved this app so cant sleep without playing itD
",1
"Works very well. Found new quicker routes to places I've been going for years
",1
"Really fun app I love it its very fun you should buy it but there is some glitches but i rate 5 over all.
",1
"Awesome So far game has no glitches. Nice graphics, very fun. Played for over an hour first time I play, couldn't put it down. This is the only game that I have purchased, best game I have played  Hopefully no problems in the future.
",1
"Great App This app really breaks down the Bible so that it can really be understood.
",1
"Mr  Brand Pretorius I use it alot .... and happy .... if posible please ad lynx 624 x 44DT Hohold over recticke  please please please
",1
"Fun It was cool
",1
"Soopa fast Great app but it allways has my team getting beat Sort that out  there'll be another 50,000 downloading  LIVE SCORES,, 
",1
"Paid for the App, now Pay for Levels I paid 3 for this wonderful app, and I beat all the levels, Now I have to pay an extra 1 for more levels...
",1
"Great game Alot of honest fun and good design that doesn't force advertisements on you, good job Yahtzee.
",1
"Loved it PEOPLE it can't be updated it originally came out on PC
",1
"I love this game Its so fun
",1
"I love it jooo It is good beautiful
",1
"Amazing its really fun I have it on both of my devices
",1
"I really like this game only need a faster way to collect money any advice Thanks for the free game
",1
"I'm a human Shazam anyway But I still find myself needing a little extra help sometimes usually when a song I don't know is about to end
",1
"Great game Perfect little word game that you can play for a few minutes, or a few hours.
",1
"This app is supper  cool Loved it
",1
"I love this game it's great I finished all levels 180 in 3 stars  and looney cards plz. Finsh some levels with updat soon to i can play again am waiting ... Thank you 
",1
"Great time waster I've used this app mainly on road trips with friends. Its great if your ever stuck with nothing to do with a few people. Everyone seems to enjoy it.
",1
"Christian Emojis Fantastic.  3D emojis. I like I them alot. Thanks.
",1
"Yaaaaaay I can play Crash Bandicoot....Enough reason for 5 stars
",1
"Brilliant I think coin dozer is absolutely necessary for children, amazing, but it would let u down if u lost a massive coin But all together its awesome
",1
"Well worth it In my first week home with my newborn this app has really helped me kee track of feedings and diapers
",1
"Hussain Continue your work man
",1
"Soooo addictive Play against someone and tryen have them beat your score and go back and forth and restart when you choose its sooooo fun your just try to beat your own score as much as you can. addictive
",1
"Great app. I use the Yo Windows on my laptop too. I would not use any other. I have tried others but nothing beats YO WINDOOWS.
",1
"LOVE it The rims and the color of the cars and the lemozen car OMG can't help it I love love love.love love love love it best griving game I ever played
",1
"Samsung galaxy to 10.1 So cool if you are an avid  boardgames like me. Game itself is very immersive and soundtrack is a nice touch too.
",1
"My rating This game is so the best game ever no ads pop out and no more short ads videos or whatever so happoy
",1
"FUN FUN FUN Ok this game is so fun but it gets so boring but its so fun if your like 7 8 or 9 years old this is the perfect game for yall 10 11 and 12 don't get this game serisly
",1
"I completed the entire game I finished all the levels in the game. Ericus mountains, Red Rock Valley and Lotus Point. It was really fun indeed.
",1
"Great, satisfying, arcade racing experience.... 5 Title says it all...just plain'ole'fun.... Thanks for the amazing racing series..  Patiently awaiting RR4...5...6.... Haha...keeepm coming
",1
"Not so bad Sometimes teathering hotspot won't get established n smetimes it won't gt connected to required one n also can't change the storage location
",1
"Just try it Was never a fan of slots or pokie machines but this... This is the most enjoyable app I've downloaded
",1
". . . Love this game. Things are not expensive Just enough to train everything full. Not hard to gain diamonds just go forward n u can have them  almost completed, few levels more then the aliens are destroyed for good 
",1
"Amazing I like how you don't just go and eat you have to use your mass wisely or else you will be smaller than the one your chasing. Very creative.
",1
"Great app So far I have not found a better app to spend money on. The WW2 is out of this world, I know there is a ton of guns but would love to see a few more. Thanks for making these apps.
",1
"Colin mc cray rally I played this game on my dad PC and its as good then as it was now I bought for my tablet can't wait to race one more
",1
"Great Great game play for hours with frends
",1
"Loved it too much
",1
"This new game type This new game type is amazing Keep making more Thanks you
",1
"Brilliant design Clearly, a lot of thought went into making this game a perfect balance between challenging, fun and replayable. Belongs in the same category as Tetris good enough to launch a thousand clones.
",1
"The fiviest of stars. By that title you can tell I'm a 12 year old which means I have a lot of time to spare. This excites me. THANK YOU SQUARE ENIX
",1
"Great App Very handy for following up my favourite teams' performance and useful for betting enthusiasts
",1
"Love it, but HD photos are not automatic Used the pro version on apple for ages, loved it so when I got an Android I wanted to get it again. Note that you need to change your settings to get HD output.
",1
"Great app.. I would  add amount  of wins it takes to move percentage up. And chance  to play up to four players just like real  game
",1
"Good Love the game preachy good
",1
"Easy and accurate So far it's worked every time I used it.  Not a lot of bells and whistles to get in the way.  Nice and neat.
",1
"A truly awsome game This is by far the best slot game available on the google play store. I highly recommend it any problems ive ever encountered  has been resolved with in hours.Thanks for the great support and especially to Anita.Your Awsome
",1
"Doraemon music pad
",1
"Game I played this game so long u couldn't keep time. It is so fun but I had trouble on time machine it's cool though. I passed lv.1lv.8 I want to get full version but too much work also one tap you can't stop playing
",1
"Awesome Love it so  cool P
",1
"Nice speed and easy to use Thanks to xender team for concern happy to see password... sending or receiving...but better will be that prompt for which device is going to join group...
",1
"Perfect game  Smooth movement speed.. Nice Dungeon map, nice chatacter design and good story line. Thx to hearing my comment before about auto mode.. Know i'm playing this game very enjoyed  Success for Brave Trials v
",1
"Awesome My almost three year old is playing like a champ. Only downside is she asks for monkey everywhere
",1
"Nice App My little daughter like it very much
",1
"Great this is such a excellent fantastic super fantastic wonderful superb game
",1
"Princess Tailor Boutique I loved this game you got to chose different patterns.
",1
"Loved it  I love this game plzz edit new song in it
",1
"Love the app My 4 year old loves this I was curious how do We download purchased coloring books on her new device.
",1
"Tictactoe Best brain exercise I've played yet
",1
"A very nice application. It is a good application to regularly monitor one's blood pressure
",1
"Go Lube out
",1
"Love it My son has autism and loves to learn his shapes
",1
"My favorite game better than any thing Else
",1
"Great app Needs tick box to enable video recording on startup and 720P1080P video recording options.
",1
". Really very well made game Wondering why the rating is so low. Download took ages, but I didn't experience any crashes so far.
",1
"Nice but need improvement
",1
"Helped alot I have an utraclassic my speedometer went out and I needed to keep track of my speed and mileage I found this app and it really helped me as I traveled from PA to Az thank you
",1
"So good When it hit the wall it turn back and explode i was laughing so hard i almost break my funny bone
",1
"Good dancing game
",1
"Most configurable audio  New UI. The new UI is a vast improvement. It's still a little quirky, but you get used to it quickly. Very configurable and great sound. The developer is very responsive.
",1
